Node,x,y,Connectivity
1,0.0,0.0,"(np.int64(1), np.int64(2))"
2,0.0,-42.5,"(np.int64(2), np.int64(3))"
3,7.5,-50.0,"(np.int64(3), np.int64(4))"
4,89.0,-50.0,"(np.int64(4), np.int64(5))"
5,96.5,-42.5,"(np.int64(5), np.int64(6))"
6,96.5,0.0,"(np.int64(6), np.int64(7))"
7,91.5,0.0,"(np.int64(7), np.int64(8))"
8,91.5,-42.5,"(np.int64(8), np.int64(9))"
9,89.0,-45.0,"(np.int64(9), np.int64(10))"
10,7.5,-45.0,"(np.int64(10), np.int64(11))"
11,5.0,-42.5,"(np.int64(11), np.int64(12))"
12,5.0,0.0,"(np.int64(12), np.int64(1))"
