Node,x,y,Connectivity
1,-48.25,30.0,"(np.int64(1), np.int64(2))"
2,-48.25,-12.5,"(np.int64(2), np.int64(3))"
3,-40.75,-20.0,"(np.int64(3), np.int64(4))"
4,40.75,-20.0,"(np.int64(4), np.int64(5))"
5,48.25,-12.5,"(np.int64(5), np.int64(6))"
6,48.25,30.0,"(np.int64(6), np.int64(7))"
7,43.25,30.0,"(np.int64(7), np.int64(8))"
8,43.25,-12.5,"(np.int64(8), np.int64(9))"
9,40.75,-15.0,"(np.int64(9), np.int64(10))"
10,-40.75,-15.0,"(np.int64(10), np.int64(11))"
11,-43.25,-12.5,"(np.int64(11), np.int64(12))"
12,-43.25,30.0,"(np.int64(12), np.int64(1))"
