Node,x,y,Connectivity
1,-48.25,30.0,"(np.int64(1), np.int64(2))"
2,-48.25,-12.5,"(np.int64(2), np.int64(3))"
3,-48.25,-12.5,"(np.int64(3), np.int64(4))"
4,-48.25,-12.499999999999998,"(np.int64(4), np.int64(5))"
5,-48.224383697550024,-13.11934509104249,"(np.int64(5), np.int64(6))"
6,-48.14770977552042,-13.734459427105504,"(np.int64(6), np.int64(7))"
7,-48.02050199454498,-14.341141153555991,"(np.int64(7), np.int64(8))"
8,-47.84362931275476,-14.935246019035127,"(np.int64(8), np.int64(9))"
9,-47.61829994991293,-15.51271568489727,"(np.int64(9), np.int64(10))"
10,-47.34605313404867,-16.069605447778052,"(np.int64(10), np.int64(11))"
11,-47.028748586968966,-16.6021111859182,"(np.int64(11), np.int64(12))"
12,-46.66855382047295,-17.106595345172508,"(np.int64(12), np.int64(13))"
13,-46.26792933004849,-17.579611787193056,"(np.int64(13), np.int64(14))"
14,-45.82961178719306,-18.01792933004849,"(np.int64(14), np.int64(15))"
15,-45.35659534517251,-18.41855382047295,"(np.int64(15), np.int64(16))"
16,-44.852111185918204,-18.778748586968966,"(np.int64(16), np.int64(17))"
17,-44.31960544777805,-19.096053134048667,"(np.int64(17), np.int64(18))"
18,-43.76271568489727,-19.36829994991293,"(np.int64(18), np.int64(19))"
19,-43.18524601903513,-19.59362931275476,"(np.int64(19), np.int64(20))"
20,-42.591141153555995,-19.77050199454498,"(np.int64(20), np.int64(21))"
21,-41.984459427105506,-19.89770977552042,"(np.int64(21), np.int64(22))"
22,-41.3693450910425,-19.974383697550024,"(np.int64(22), np.int64(23))"
23,-40.75,-20.0,"(np.int64(23), np.int64(24))"
24,-40.75,-20.0,"(np.int64(24), np.int64(25))"
25,40.75,-20.0,"(np.int64(25), np.int64(26))"
26,40.75,-20.0,"(np.int64(26), np.int64(27))"
27,40.75,-20.0,"(np.int64(27), np.int64(28))"
28,41.36934509104249,-19.974383697550024,"(np.int64(28), np.int64(29))"
29,41.9844594271055,-19.89770977552042,"(np.int64(29), np.int64(30))"
