filename,material_name,elastic_modulus,poissons_ratio,yield_strength,density,color
sec_000_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_001_r0.129.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_002_r0.145.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_003_r0.181.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_004_r0.240.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_005_r0.326.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_006_r0.443.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_007_r0.592.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_008_r0.777.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_009_r1.000.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
