# Metadata
label,Station_12
r,0.7
r_over_R,0.875
B_r,1.43264229507252
Cx,0.00106
Cy,-0.00452
hs,"[40.0, 10.0, 2.5]"
dxf_path,C:\Users\Sam Hughes\Desktop\geometry_tools\n_sections\blade\Station_12.dxf
material_name,Al_7075_T6

# Convergence Results
run_label,mesh_h,x_min_mm,x_max_mm,y_min_mm,y_max_mm,max_width_mm,max_height_mm,area_mm2,perimeter_mm,cx_mm,cy_mm,ixx_c_mm4,iyy_c_mm4,ixy_c_mm4,ip_c_mm4,rx_mm,ry_mm,sx_mm3,sy_mm3,phi_deg,i1_mm4,i2_mm4,j_mm4,asx_mm2,asy_mm2,scx_mm,scy_mm,beta_x_plus,beta_x_minus,beta_y_plus,beta_y_minus,shape_factor_x,shape_factor_y,polar_r_mm,j_over_ip,asx_over_a,asy_over_a,compactness,shear_offset_ratio_x,shear_offset_ratio_y,vx,vy
Station_12_h40,40.0,-20.415938341,31.514979087000004,-8.457959612,-0.5837110929999999,51.930917428,7.874248519,190.72922064784203,106.38376217551485,1.0600000001755192,-4.520000000123296,861.2871146815228,30177.201336405695,791.0925714669683,31038.488451087218,0.0,-88.45536681968171,30198.533517621156,839.9549334660601,2.1250314304598126,12.578558187305186,0.0,2912.7101593299394,,,,,,,,,,,,,,,,,,,
Station_12_h10,10.0,-20.415938341,31.514979087000004,-8.457959612,-0.5837110929999999,51.930917428,7.874248519,190.72922064784203,106.38376217551485,1.0600000001755192,-4.520000000123296,861.2871146815228,30177.201336405695,791.0925714669683,31038.488451087218,0.0,-88.45536681968171,30198.533517621156,839.9549334660601,2.1250314304598126,12.578558187305186,0.0,2912.7101593299394,,,,,,,,,,,,,,,,,,,
Station_12_h2.5,2.5,-20.415938341,31.514979087000004,-8.457959612,-0.5837110929999999,51.930917428,7.874248519,190.72922064784203,106.38376217551485,1.0600000001755192,-4.520000000123296,861.2871146815228,30177.201336405695,791.0925714669683,31038.488451087218,0.0,-88.45536681968171,30198.533517621156,839.9549334660601,2.1250314304598126,12.578558187305186,0.0,2912.7101593299394,,,,,,,,,,,,,,,,,,,
