# Metadata
label,Station_14
r,0.8
r_over_R,1.0
B_r,0.315909961538458
Cx,0.000847
Cy,-0.0024300000000000003
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,-2.3320148698883305e-05
target_Iz_mm4,1.2152859135290413e-05
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\Station_14.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_14_s0.600_s0.600_h3.000,3.0,0.6,111.64154685177412,1230.5901024658747,350.33447766362013,-2.3320148698883305e-05,1.2152859135290413e-05,1230.5901257860235,350.334465510761,True,-52769393.46981102,28827329.747144997,0.0,11.02268946613327,3.138029591517191,1230.5901257860235,-52769394.46981102,350.334465510761,28827328.747144997
Station_14_s0.635_s0.635_h3.000,3.0,0.6346864572033302,104.1708261533151,1169.341997257875,337.18505681252987,-2.3320148698883305e-05,1.2152859135290413e-05,1169.3420205780237,337.1850446596707,True,-50142990.611113444,27745327.503499635,6.691702962856516,11.225234938013037,3.2368472946184785,1169.3420205780237,-50142991.611113444,337.1850446596707,27745326.503499635
Station_14_s0.671_s0.671_h3.000,3.0,0.6713781649288577,95.811361565241,1095.7448853247374,320.7209357911766,-2.3320148698883305e-05,1.2152859135290413e-05,1095.7449086448862,320.72092363831746,True,-46987045.386087425,26390574.614647046,14.179475054704117,11.436481722249713,3.347420708271508,1095.7449086448862,-46987046.386087425,320.72092363831746,26390573.614647046
Station_14_s0.710_s0.710_h3.000,3.0,0.710191048237283,86.45742490945574,1006.9713937375557,300.10654644811814,-2.3320148698883305e-05,1.2152859135290413e-05,1006.9714170577043,300.106534295259,True,-43180316.160924606,24694316.218695033,22.558019529911387,11.64702042412351,3.4711483341356826,1006.9714170577043,-43180317.160924606,300.106534295259,24694315.218695033
