# Metadata
label,Station_4
r,0.3
r_over_R,0.375
B_r,10.8618390488919
Cx,0.00377
Cy,-0.010320000000000001
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,0.0002980461364347
target_Iz_mm4,0.0026137637999224
dxf_path,C:\Users\samea\Desktop\geometry_tools\n_sections\blade\Station_4.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_4_s0.600_s0.600_h3.000,3.0,0.6,813.2285800096872,67285.30451453749,19084.236338875697,0.0002980461364347,0.0026137637999224,67285.30421649135,19084.233725111895,True,225754661.0716736,7301438.767895664,0.0,82.73848972909435,23.467247472596654,67285.30421649135,225754660.07167357,19084.233725111895,7301437.767895663
