# NACA 63-415 Standard profile with sharp trailing edge,
# x [-], y [-]
1,0
0.999981,7.00E-06
0.999924,2.60E-05
0.999829,5.30E-05
0.999695,9.00E-05
0.999524,0.000134
0.999315,0.000186
0.999067,0.000245
0.998782,0.000311
0.998459,0.000383
0.998097,0.000463
0.997698,0.000549
0.997261,0.000641
0.996786,0.00074
0.996273,0.000844
0.995722,0.000955
0.995134,0.001072
0.994508,0.001195
0.993844,0.001325
0.993143,0.00146
0.992404,0.001602
0.991627,0.001749
0.990814,0.001903
0.989962,0.002063
0.989074,0.002229
0.988148,0.002401
0.987185,0.002579
0.986185,0.002763
0.985148,0.002954
0.984074,0.003152
0.982963,0.003355
0.981815,0.003565
0.980631,0.003781
0.97941,0.004004
0.978152,0.004232
0.976858,0.004467
0.975528,0.00471
0.974162,0.004958
0.972759,0.005213
0.971321,0.005474
0.969846,0.005742
0.968336,0.006017
0.96679,0.006299
0.965209,0.006588
0.963592,0.006883
0.96194,0.007184
0.960252,0.007493
0.95853,0.007809
0.956773,0.008132
0.954981,0.008462
0.953154,0.008799
0.951293,0.009144
0.949397,0.009496
0.947467,0.009856
0.945503,0.010223
0.943505,0.010595
0.941474,0.010974
0.939409,0.011362
0.93731,0.011759
0.935178,0.012162
0.933013,0.012572
0.930815,0.012989
0.928584,0.013416
0.92632,0.013848
0.924024,0.014287
0.921696,0.014734
0.919335,0.01519
0.916943,0.015654
0.914519,0.016125
0.912063,0.016603
0.909576,0.01709
0.907058,0.017582
0.904508,0.018081
0.901928,0.018588
0.899318,0.019103
0.896677,0.019624
0.894005,0.020152
0.891304,0.020687
0.888573,0.021231
0.885812,0.021781
0.883022,0.022337
0.880203,0.022899
0.877355,0.023469
0.874478,0.024047
0.871572,0.024632
0.868639,0.025223
0.865677,0.025821
0.862687,0.026426
0.85967,0.027035
0.856625,0.027649
0.853553,0.028271
0.850455,0.028901
0.847329,0.029537
0.844177,0.030176
0.840999,0.030822
0.837795,0.031474
0.834565,0.032133
0.83131,0.032797
0.82803,0.033466
0.824724,0.03414
0.821394,0.03482
0.818039,0.035506
0.81466,0.036196
0.811257,0.03689
0.807831,0.037588
0.804381,0.038291
0.800908,0.039001
0.797411,0.039715
0.793893,0.040434
0.790352,0.041154
0.786788,0.041876
0.783203,0.042603
0.779597,0.043336
0.775968,0.044072
0.77232,0.044809
0.76865,0.045546
0.76496,0.046286
0.761249,0.04703
0.757519,0.047777
0.753769,0.048524
0.75,0.049273
0.746212,0.050026
0.742405,0.050778
0.738579,0.051528
0.734736,0.052281
0.730874,0.053036
0.726995,0.053794
0.723099,0.054549
0.719186,0.055302
0.715256,0.056055
0.711309,0.056811
0.707347,0.057566
0.703368,0.058316
0.699375,0.059064
0.695366,0.059815
0.691342,0.060565
0.687303,0.06131
0.683251,0.062052
0.679184,0.062792
0.675104,0.063531
0.67101,0.064268
0.666903,0.065001
0.662784,0.06573
0.658652,0.066455
0.654509,0.067176
0.650353,0.067893
0.646186,0.068608
0.642008,0.06932
0.637819,0.070024
0.633619,0.070722
0.62941,0.071415
0.62519,0.072104
0.620961,0.072787
0.616723,0.073463
0.612476,0.074131
0.60822,0.074793
0.603956,0.07545
0.599684,0.076102
0.595405,0.076746
0.591118,0.077381
0.586824,0.078006
0.582524,0.078624
0.578217,0.079238
0.573905,0.079846
0.569587,0.08044
0.565263,0.081026
0.560935,0.081605
0.556602,0.082175
0.552264,0.082735
0.547923,0.083288
0.543578,0.083833
0.53923,0.084367
0.534878,0.08489
0.530524,0.085403
0.526168,0.085907
0.52181,0.086399
0.51745,0.08688
0.513089,0.087351
0.508726,0.087815
0.504363,0.088266
0.5,0.088704
0.495637,0.08913
0.491274,0.089545
0.486912,0.089948
0.48255,0.09034
0.47819,0.09072
0.473832,0.091086
0.469476,0.091439
0.465122,0.09178
0.46077,0.092108
0.456422,0.092421
0.452077,0.092721
0.447736,0.09301
0.443398,0.093283
0.439065,0.093542
0.434737,0.09379
0.430413,0.094024
0.426095,0.094242
0.421783,0.094446
0.417476,0.094634
0.413176,0.094808
0.408882,0.094966
0.404596,0.095109
0.400316,0.09524
0.396044,0.095357
0.39178,0.095456
0.387524,0.095538
0.383277,0.095606
0.379039,0.095659
0.37481,0.095696
0.370591,0.095717
0.366381,0.095724
0.362181,0.095719
0.357992,0.095698
0.353814,0.095659
0.349647,0.095604
0.345492,0.095534
0.341348,0.095449
0.337216,0.09535
0.333097,0.095238
0.32899,0.095109
0.324896,0.094963
0.320816,0.094805
0.316749,0.094633
0.312697,0.094446
0.308658,0.094244
0.304634,0.094027
0.300626,0.093797
0.296632,0.093555
0.292653,0.093296
0.288691,0.093026
0.284745,0.092747
0.280814,0.092453
