filename,material_name,elastic_modulus,poissons_ratio,yield_strength,density,color
sec_000_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_001_r0.134.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_002_r0.143.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_003_r0.152.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_004_r0.160.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_005_r0.169.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_006_r0.178.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_007_r0.187.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_008_r0.196.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_009_r0.205.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_010_r0.213.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_011_r0.222.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_012_r0.231.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_013_r0.240.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_014_r0.249.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_015_r0.258.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_016_r0.266.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_017_r0.275.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_018_r0.284.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_019_r0.293.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_020_r0.302.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_021_r0.311.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_022_r0.319.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_023_r0.328.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_024_r0.337.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
