station_idx,name,rR,zL,c,beta_deg,dxf_path,x_cp,y_cp,P,A,xmin,xmax,ymin,ymax,n_vertices
0,,0.125,0.0,0.120433447141891,34.1104050834199,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_000_r0.125.dxf,-0.24305940133086779,0.8213102912837549,247.5789675434967,1380.4653999831062,-33.40661845254662,67.08901503598597,-23.037610190454384,45.45909940621864,721
1,,0.12545815489034723,0.0005236055889681505,0.12085800547705706,34.10975468722422,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_001_r0.125.dxf,-0.24390689111142905,0.8242083863843774,248.45174596823577,1390.2155343555764,-33.524622822257136,67.32603151454803,-23.118472632419028,45.618594775528706,721
2,,0.1271051270755029,0.0024058595148603234,0.12246178885265666,34.09781546024475,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_002_r0.127.dxf,-0.24696949877645835,0.8351970969426965,251.74869579170604,1427.3566067764043,-33.97391255884097,68.22894519893029,-23.418725845019086,46.209825586137825,721
3,,0.13013663949837542,0.005870445141000372,0.12570385208190227,34.04776279915645,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_003_r0.130.dxf,-0.2527587620016263,0.8575293050627586,258.4135109743329,1503.9329148784757,-34.89233880458375,70.07608556687721,-24.01060993096854,47.372373238825375,721
4,,0.13467262403475957,0.011054427468296539,0.13145410827497217,33.77374851753645,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_004_r0.135.dxf,-0.2600293768831463,0.898010372008379,270.23450028566225,1644.6732103098816,-36.59673995450308,73.51450422010278,-24.94772307631502,49.190566013278904,721
5,,0.14080324729389,0.01806085405015986,0.13500092488327503,32.89195082895582,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_005_r0.141.dxf,-0.25323651621034315,0.8477681164596369,277.5258069350117,1734.621716045425,-37.93676524170434,76.25574604767141,-25.08493061405053,49.35714312109581,721
6,,0.1486017973679866,0.02697348270627027,0.13797767644761735,31.6366057636804,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_006_r0.149.dxf,-0.23977566068921163,0.871923599179361,283.64521226985255,1811.961416593737,-39.272149585065684,79.00777139789332,-24.850517645998675,48.736154078568255,721
7,,0.15813050186035998,0.037863430697554136,0.14068666035077534,30.10309299175255,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_007_r0.158.dxf,-0.22253099865526593,0.8164641095386109,289.2141588852029,1883.8101485164088,-40.64136494474928,81.83995004341438,-24.34570970965477,47.53166894958693,721
8,,0.16944370926893243,0.05079281059306551,0.14317180593897944,28.377720164404554,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_008_r0.169.dxf,-0.20310294568871967,0.7600585814026353,294.3229537717094,1950.9507116618665,-42.01166208190127,84.68094136116704,-23.624520064463912,45.85523338281771,721
9,,0.1825898367389966,0.06581695627313887,0.14554428649819298,26.52687776283253,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_009_r0.183.dxf,-0.1831570204127999,0.70338759048051,299.2001394813826,2016.1443088912329,-43.37973055847232,87.51897713261714,-22.74618101039688,43.82441958625279,721
10,,0.19761265668041117,0.08298589334904125,0.147282625741734,24.564324607318685,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_010_r0.198.dxf,-0.16256854137689203,0.6447855665535442,302.77370019370835,2064.5924160510267,-44.57241324283227,90.00287373127492,-21.64146418010911,41.302911428528056,721
11,,0.21455219473083012,0.1023453654066629,0.1473247711263602,22.47695238819408,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_011_r0.215.dxf,-0.1408202481655536,0.581244994722546,302.86033983626703,2065.7741642790966,-45.249373553486826,91.443212220214,-20.173741848783603,38.022103949914154,721
12,,0.2334453832463182,0.12393758085293496,0.14623519605268379,20.32917120527719,n_slicer\blade_output\Blade01_N_NACA_63-415_n32_pr2p2_L0p7m_cp33pc_20250820-015858\sections\sec_012_r0.233.dxf,-0.12018177854564271,0.5175698653495395,300.6204647998569,2035.3313161442652,-45.535130035360524,92.08592528832091,-18.517251783943824,34.32580562730793,721
