filename,material_name,elastic_modulus,poissons_ratio,yield_strength,density,color
sec_000_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_001_r0.125.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_002_r0.126.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_003_r0.128.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_004_r0.130.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_005_r0.134.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_006_r0.139.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_007_r0.146.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_008_r0.155.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_009_r0.165.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_010_r0.177.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_011_r0.191.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_012_r0.207.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_013_r0.225.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_014_r0.245.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_015_r0.268.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_016_r0.292.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_017_r0.320.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_018_r0.350.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_019_r0.382.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_020_r0.418.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_021_r0.455.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_022_r0.496.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_023_r0.540.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_024_r0.586.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_025_r0.636.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_026_r0.689.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_027_r0.744.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_028_r0.803.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_029_r0.866.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_030_r0.931.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
sec_031_r1.000.dxf,Al_7075_T6,71700000000,0.33,503000000,2810000000,lightskyblue
