station_idx,name,rR,c,beta_deg,dxf_path,x_cp,y_cp,P,A,xmin,xmax,ymin,ymax,n_vertices
0,,0.125,0.120433447141891,34.1104050834199,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_000_r0.125.dxf,-0.38235610593217473,1.0269702040945354,246.9174338124515,1360.7937319175126,-33.47626680484728,66.80831107065302,-22.934780234048993,45.25032343412284,721
1,,0.12509211843167617,0.12051802849968059,34.110378304195685,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_001_r0.125.dxf,-0.38262415730641663,1.0276916321847018,247.09084586956197,1362.7057954063275,-33.49978715774556,66.85525223752457,-22.95087306869951,45.28207184523019,721
2,,0.12552110054168392,0.12091709035235443,34.10956636882856,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_002_r0.126.dxf,-0.38387649891004827,1.031099986515418,247.9090183202648,1371.7451770432335,-33.61100765463449,67.07726857483351,-23.026429158104015,45.431060258398055,721
3,,0.12643598423579017,0.12179593191536522,34.10433117823423,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_003_r0.126.dxf,-0.38657166525094766,1.038629484832736,249.7108541774639,1391.757694860984,-33.85721459751907,67.56897610632372,-23.19093492231228,45.75508559732281,721
4,,0.12794778981363736,0.12332679582081812,34.08686449442569,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_004_r0.128.dxf,-0.39110989362215065,1.0518033904132835,252.8494921224958,1426.9638201281973,-34.28924533255732,68.43237720967046,-23.47278269484554,46.30932580326122,721
5,,0.13014957688021453,0.12571882797815753,34.047462755138724,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_005_r0.130.dxf,-0.3979583772277522,1.072477971984597,257.7537314007359,1482.8550922075085,-34.96919656580107,69.7921312783605,-23.905879323419946,47.15955188756332,721
6,,0.13312315352643367,0.1296892030315166,33.89664728790284,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_006_r0.133.dxf,-0.40761287690464343,1.107425079289964,265.8939519350976,1577.9953115043195,-36.1321726256021,72.12406903711747,-24.573179426667732,48.45923719514515,721
7,,0.13694240060764132,0.13304715638811657,33.50848477441784,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_007_r0.137.dxf,-0.4104606346683113,1.138905743403452,272.7785611973129,1660.7691133094027,-37.221264132748516,74.3266252553733,-24.97712198145125,49.211550453890595,721
8,,0.1416752173338849,0.13539457550466985,32.75522250603952,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_008_r0.142.dxf,-0.40303446929760156,1.0856912634125742,277.5913330484643,1719.889699938183,-38.17714030372782,76.28984707333343,-24.9569902581364,49.08110998728619,721
9,,0.14738477889730878,0.1375791610337153,31.835251744673926,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_009_r0.147.dxf,-0.3917716896704846,1.1096420998143621,282.070257014995,1775.8381400691867,-39.15608968044506,78.3115405946294,-24.7828334764097,48.6219423658016,721
10,,0.15413040585792925,0.13964148850950162,30.740691606536743,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_010_r0.154.dxf,-0.3770998086184818,1.0554324883916415,286.29852266782575,1829.4772138750748,-40.16956370019954,80.41366021368246,-24.45217163665535,47.82341395290731,721
11,,0.16196819517164643,0.14159598802780324,29.504001813241846,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_011_r0.162.dxf,-0.3594299890243633,1.0017696551722501,290.30571516210125,1881.0483650506737,-41.203684141247514,82.56678298670141,-23.982079127847598,46.72165132489687,721
12,,0.17095149554528527,0.14348333506015323,28.155547321441723,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_012_r0.171.dxf,-0.3402313326416646,1.0234123563098763,294.1752289641296,1931.5279234671816,-42.25443328248794,84.7582998988644,-23.395745145755207,45.362371323191084,721
13,,0.1811312761712136,0.1453278685197047,26.722622612637657,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_013_r0.181.dxf,-0.3200671007855007,0.9694375878060022,297.95696467976563,1981.508198279208,-43.31368123855156,86.96999796680012,-22.71329876681898,43.784386043037216,721
14,,0.19255641962647613,0.14687834880876768,25.213434823076707,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_014_r0.193.dxf,-0.298444939753999,0.9152127378354891,301.1358209131272,2024.0145437305964,-44.29743602188879,89.03283998458026,-21.90019550263228,41.9211764738535,721
15,,0.20527395914612231,0.1474653241331576,23.60698416604111,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_015_r0.205.dxf,-0.27420016150462345,0.857600876469359,302.3392610225748,2040.2241555635994,-45.000348689684024,90.53343472904143,-20.853097501055885,39.566227921325584,721
16,,0.21932927403639582,0.14715230367159884,21.911544056997,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_016_r0.219.dxf,-0.24853037104538345,0.7988546456653438,301.697494047261,2031.5718963604418,-45.423260545171246,91.46986119460408,-19.60977036630023,36.79205792902481,721
17,,0.23476625289758718,0.14612301730394991,20.18787147625308,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_017_r0.235.dxf,-0.22290110236273364,0.7412614298599163,299.5872102798405,2003.2508167211556,-45.590904445100286,91.8878935631953,-18.262667837168305,33.786081446154995,721
18,,0.2516274316291885,0.14403274237952435,18.528729211999167,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_018_r0.252.dxf,-0.19850260398102648,0.684895571695824,295.3016456584643,1946.3481431508344,-45.36329131670348,91.49970478245547,-16.860551266734706,30.666483985104808,721
19,,0.26995411135950764,0.14116842524562379,16.936663708292688,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_019_r0.270.dxf,-0.1759409146656452,0.6332799188075189,289.4291089744109,1869.7055014052025,-44.82763943868897,90.48053790683626,-15.464586453342148,27.553730577377078,721
20,,0.2897864601668648,0.13742487113625157,15.436252648133253,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_020_r0.290.dxf,-0.15519801038939818,0.5883441615176164,281.75392574283563,1771.8573010304071,-43.945936717726816,88.75327148632596,-14.097665010021409,24.50791775989414,721
21,,0.3111636015509856,0.13277203830306583,14.03588116547187,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_021_r0.311.dxf,-0.13624456731674428,0.5519619156787137,272.2145031788117,1653.907858573593,-42.709990368108116,86.30136054338087,-12.774328989655178,21.57669284599211,721
22,,0.3341236919527918,0.12729138908867338,12.749400947809477,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_022_r0.334.dxf,-0.11870685688482752,0.5319769096655076,260.97785861071566,1520.1838601676716,-41.147655348481926,83.18249159575171,-11.519004766862114,18.825757974347873,721
23,,0.35870398913215745,0.12097970630581102,11.554951949893447,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_023_r0.359.dxf,-0.10225682393490132,0.5078410389173795,248.03739603351755,1373.1662395489138,-39.26680128635048,79.4136364785452,-10.32329315508094,16.246045350865973,721
24,,0.3849409128458771,0.11419292221402112,10.466411716516168,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_024_r0.385.dxf,-0.08739647471676193,0.48109903626693296,234.12286189409713,1223.4224318755405,-37.18710981279224,75.23626393895164,-9.225500628471794,14.296765486618627,721
25,,0.41287009898802435,0.10754320429453772,9.443251348386184,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_025_r0.413.dxf,-0.07420353588243245,0.45448101039592537,220.48934626184047,1085.0856255575704,-35.119079459776636,71.07751424899367,-8.248527454889516,12.859924075279931,721
26,,0.44252644813856007,0.10115906974151344,8.478970072988748,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_026_r0.443.dxf,-0.06259421403587595,0.42861555796115614,207.40034018955774,960.0806560355229,-33.11104819931021,67.03578205909686,-7.389238292141968,11.637357538105213,721
27,,0.4739441692970099,0.09507945615876245,7.574249359480679,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_027_r0.474.dxf,-0.05246402183008314,0.40373468271705537,194.9356750981768,848.1476118637344,-31.180763771768476,63.14741728865089,-6.638458057302007,10.585455882698161,721
28,,0.507156819444522,0.08932755870207998,6.727665871525391,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_028_r0.507.dxf,-0.043680431939961295,0.3799973378281818,183.14290661681702,748.6330493153243,-29.340308726916334,59.437352773012066,-5.986402200184544,9.674798171994956,721
29,,0.5421973394711265,0.0839103381217014,5.936669771127751,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_029_r0.542.dxf,-0.036099798329608745,0.35748503434015966,172.03630595191078,660.5854563141879,-27.595783362201473,55.918409255592046,-5.420923774959938,8.880189813359324,721
30,,0.5790980869193197,0.07885612412923908,5.202836412872721,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_030_r0.579.dxf,-0.029619901316205954,0.3363594002503989,161.6739558027246,583.4033519244645,-25.95951465918359,52.61592400102059,-4.934018591543304,8.18577679285255,721
31,,0.6178908659255513,0.0741278166270905,4.519689307962598,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_031_r0.618.dxf,-0.024071970261879017,0.31650039256336426,151.97979207650346,515.5377629749855,-24.4220380775476,49.51119255059095,-4.511061633079438,7.571829990782466,721
32,,0.6586069546843171,0.06971033018336245,3.8856608232491125,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_032_r0.659.dxf,-0.019342493155257046,0.29787151317149263,142.92288602197914,455.9238855697989,-22.980397416668485,46.59855689700797,-4.143309131269297,7.025440594924175,721
33,,0.7012771307127267,0.06555740691564754,3.294917039877113,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_033_r0.701.dxf,-0.015301048741221734,0.2802987713332111,134.4083978924809,403.21956764445326,-21.621019015679618,43.85085361140642,-3.819835460925245,6.533184257754003,721
34,,0.7459316941545713,0.06163287697146163,2.740612079502211,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_034_r0.746.dxf,-0.011835032925162636,0.263645793436482,126.36217082072051,356.3878971501905,-20.333250750490386,41.24679687849514,-3.532490246414095,6.0849486363387895,721
35,,0.792600489330519,0.05795584768913758,2.2255768236617364,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_035_r0.793.dxf,-0.008899995227110935,0.24800665606566147,118.8233794301942,315.132061481366,-19.12428662852116,38.80112741176384,-3.277829786926659,5.67773334640564,721
36,,0.8413129247138807,0.05445602406378076,1.7421170394573915,n_slicer\blade_output\Blade01_N_NACA_63-415_n40_pr2p5_L0p7m_cp33pc_20250818-205548\sections\sec_036_r0.841.dxf,-0.006395970357122138,0.2330923567628527,111.64790211157886,278.22101116173144,-17.971727899997624,36.468671886791775,-3.0480705815220164,5.30040384298347,721
