b0,b1,b2,b3,b4,b5,Equation
358.456,-658.92,197.08,-525.28,1102,-426.16,197.1*x^2 - 658.9*x - 525.3*x^3 + 1102.0*x^4 - 426.2*x^5 + 358.5
642.6866831,-2963.198569,7205.887177,-11799.73445,11106.09651,-4250.120192,7206.0*x^2 - 2963.0*x - 11800.0*x^3 + 11110.0*x^4 - 4250.0*x^5 + 642.7
875.6141433,-4305.37913,9328.078115,-11468.36177,7878.772273,-2308.78897,9328.0*x^2 - 4305.0*x - 11470.0*x^3 + 7879.0*x^4 - 2309.0*x^5 + 875.6
1059.160914,-5166.869091,9973.522159,-9145.767241,3474.648525,-147.9792613,9974.0*x^2 - 5167.0*x - 9146.0*x^3 + 3475.0*x^4 - 148.0*x^5 + 1059.0
729.6373549,-2927.803974,4724.946769,-4408.341261,2864.716859,-1001.434195,4725.0*x^2 - 2928.0*x - 4408.0*x^3 + 2865.0*x^4 - 1001.0*x^5 + 729.6
803.9846354,-3737.676901,7801.742786,-9839.829551,7444.489034,-2498.519786,7802.0*x^2 - 3738.0*x - 9840.0*x^3 + 7444.0*x^4 - 2499.0*x^5 + 804.0
822.9001948,-3950.133181,8676.185901,-11561.68355,9092.139074,-3115.074957,8676.0*x^2 - 3950.0*x - 11560.0*x^3 + 9092.0*x^4 - 3115.0*x^5 + 822.9
696.1727103,-1800.462725,-2049.907593,11954.40163,-14853.80334,6167.711863,11950.0*x^3 - 2050.0*x^2 - 1800.0*x - 14850.0*x^4 + 6168.0*x^5 + 696.2
699.1462992,-2845.764451,5052.734449,-5888.867109,4778.89005,-1828.927658,5053.0*x^2 - 2846.0*x - 5889.0*x^3 + 4779.0*x^4 - 1829.0*x^5 + 699.1
839.0742722,-4304.138475,10874.17538,-17317.0576,15856.69682,-6060.167201,10870.0*x^2 - 4304.0*x - 17320.0*x^3 + 15860.0*x^4 - 6060.0*x^5 + 839.1
861.6535221,-4035.046067,8105.200199,-9203.082472,6020.126317,-1754.54432,8105.0*x^2 - 4035.0*x - 9203.0*x^3 + 6020.0*x^4 - 1755.0*x^5 + 861.7
861.5503968,-4443.975931,11123.50864,-17326.98173,15517.792,-5834.693744,11120.0*x^2 - 4444.0*x - 17330.0*x^3 + 15520.0*x^4 - 5835.0*x^5 + 861.6
693.7856714,-3320.128299,8248.010486,-13555.1607,12802.45825,-4948.559747,8248.0*x^2 - 3320.0*x - 13560.0*x^3 + 12800.0*x^4 - 4949.0*x^5 + 693.8
