# Metadata
label,Station_4
r,0.3
r_over_R,0.375
B_r,10.8618390488919
Cx,0.00377
Cy,-0.010320000000000001
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,0.0002980461364347
target_Iz_mm4,0.0026137637999224
dxf_path,\\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\geometry_tools\section_calc_n\blade\Station_4.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_4_s0.600_s0.600_h3.000,3.0,0.6,813.2285800096872,67285.30451453749,19084.236338875697,0.0002980461364347,0.0026137637999224,67285.30421649135,19084.233725111895,True,225754661.0716736,7301438.767895664,0.0,82.73848972909435,23.467247472596654,67285.30421649135,225754660.07167357,19084.233725111895,7301437.767895663
Station_4_s0.635_s0.635_h3.000,3.0,0.6346864572033302,758.8097390310315,63979.08735378363,18367.930325995432,0.0002980461364347,0.0026137637999224,63979.087055737495,18367.92771223163,True,214661690.0293255,7027387.220888421,6.691702962284907,84.31505825884926,24.20623956335947,63979.087055737495,214661689.0293255,18367.92771223163,7027386.22088842
Station_4_s0.671_s0.671_h3.000,3.0,0.6713781649288577,697.9170363787443,59990.87489325743,17471.058256270542,0.0002980461364347,0.0026137637999224,59990.874595211295,17471.05564250674,True,201280498.4184086,6684252.89874672,14.179475053566037,85.95702893932753,25.033144837561153,59990.874595211295,201280497.4184086,17471.05564250674,6684251.898746719
Station_4_s0.710_s0.710_h3.000,3.0,0.710191048237283,629.7803180969087,55163.25323683901,16348.103117208566,0.0002980461364347,0.0026137637999224,55163.25293879287,16348.100503444766,True,185082933.45693117,6254621.4457840165,22.558019531309792,87.59126262239059,25.95842176619589,55163.25293879287,185082932.45693117,16348.100503444766,6254620.4457840165
Station_4_s0.751_s0.751_h3.000,3.0,0.7512477339054009,553.5378099634019,49314.64919673387,14942.073987864247,0.0002980461364347,0.0026137637999224,49314.64889868774,14942.071374100447,True,165459783.46388796,5716688.703205647,31.933305890847063,89.08993804776298,26.993772997823164,49314.64889868774,165459782.46388796,14942.071374100447,5716687.703205647
