# Metadata
label,Station_4
r,0.3
r_over_R,0.375
B_r,10.8618390488919
Cx,0.00377
Cy,-0.010320000000000001
mesh_h,3.0
scale_factors,"[0.6        0.63468646 0.67137816 0.71019105 0.75124773 0.79467794
 0.84061887 0.88921569 0.94062193 0.995     ]"
target_Jt_mm4,0.0002246149668565
target_Iz_mm4,0.0018132130383136
dxf_path,C:\Users\samea\Desktop\geometry_tools\section_calc_n\blade\Station_4.dxf

# Optimisation Results
run_label,mesh_h,scale_factor,area_mm2,Jt_mm4,Iz_mm4,target_Jt_mm4,target_Iz_mm4,delta_Jt_mm4,delta_Iz_mm4,passed,Jt_ratio,Iz_ratio,Area_reduction_pct,Jt_efficiency,Iz_efficiency,Slack_Jt,Excess_ratio_Jt,Slack_Iz,Excess_ratio_Iz
Station_4_s0.600_s0.600_h3.000,3.0,0.6,813.2285800096872,67285.30451453749,19084.236338875697,0.0002246149668565,0.0018132130383136,67285.30428992253,19084.234525662658,True,299558419.7090665,10525093.265723046,0.0,82.73848972909435,23.467247472596654,67285.30428992253,299558418.7090665,19084.234525662658,10525092.265723046
Station_4_s0.635_s0.635_h3.000,3.0,0.6346864572033302,758.8097390310315,63979.08735378363,18367.930325995432,0.0002246149668565,0.0018132130383136,63979.08712916866,18367.928512782393,True,284838932.37024593,10130045.360295191,6.691702962284907,84.31505825884926,24.20623956335947,63979.08712916866,284838931.37024593,18367.928512782393,10130044.360295191
Station_4_s0.671_s0.671_h3.000,3.0,0.6713781649288577,697.9170363787443,59990.87489325743,17471.058256270542,0.0002246149668565,0.0018132130383136,59990.874668642464,17471.056443057503,True,267083158.9400891,9635413.978999238,14.179475053566037,85.95702893932753,25.033144837561153,59990.874668642464,267083157.9400891,17471.056443057503,9635412.978999237
Station_4_s0.710_s0.710_h3.000,3.0,0.710191048237283,629.7803180969087,55163.25323683901,16348.103117208566,0.0002246149668565,0.0018132130383136,55163.25301222404,16348.101303995527,True,245590282.82421276,9016096.16287191,22.558019531309792,87.59126262239059,25.95842176619589,55163.25301222404,245590281.82421276,16348.101303995527,9016095.162871908
Station_4_s0.751_s0.751_h3.000,3.0,0.7512477339054009,553.5378099634019,49314.64919673387,14942.073987864247,0.0002246149668565,0.0018132130383136,49314.64897211891,14942.072174651208,True,219551928.73785466,8240661.010115666,31.933305890847063,89.08993804776298,26.993772997823164,49314.64897211891,219551927.73785466,14942.072174651208,8240660.010115665
Station_4_s0.795_s0.795_h3.000,3.0,0.7946779378574149,468.2252179657216,42219.988953366475,13181.613699456268,0.0002246149668565,0.0018132130383136,42219.98872875151,13181.611886243229,True,187966053.83976752,7269754.530176984,42.423910143425594,90.17025852814568,28.152293370113362,42219.98872875151,187966052.83976752,13181.611886243229,7269753.530176984
Station_4_s0.841_s0.841_h3.000,3.0,0.8406188749939514,372.76353219566613,33487.33150931241,10977.377398507268,0.0002246149668565,0.0018132130383136,33487.331284697444,10977.375585294229,True,149087712.0877991,6054102.395335137,54.16251453051173,89.83532083212121,29.448635530004495,33487.331284697444,149087711.0877991,10977.375585294229,6054101.395335137
Station_4_s0.889_s0.889_h3.000,3.0,0.8892156927136002,265.98955579616904,15827.935482368564,8217.83993656478,0.0002246149668565,0.0018132130383136,15827.935257753597,8217.838123351741,True,70466967.11212738,4532197.686052312,67.29215348125118,59.505853284321056,30.895348172475646,15827.935257753597,70466966.11212738,8217.838123351741,4532196.686052311
Station_4_s0.941_s0.941_h3.000,3.0,0.9406219294966667,146.84237255414607,10066.529219561255,4765.308066176854,0.0002246149668565,0.0018132130383136,10066.528994946288,4765.3062529638155,True,44816823.03028573,2628101.588442627,81.94328431590576,68.55330000779824,32.451859659375316,10066.528994946288,44816822.03028573,4765.3062529638155,2628100.588442627
Station_4_s0.995_s0.995_h3.000,3.0,0.995,12.77685214661718,973.6176673805278,436.1285225040782,0.0002246149668565,0.0018132130383136,973.6174427655609,436.1267092910399,True,4334607.265964355,240528.00927887912,98.42887320235782,76.20168537665236,34.13427012376818,973.6174427655609,4334606.265964355,436.1267092910399,240527.00927887912
